order,id,date,time,title,url,visitCount,typedCount,transition
0,52850,3/2/2022,14:54:13,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj/related,1,0,link
1,52849,3/2/2022,14:54:02,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj,2,0,link
2,52848,3/2/2022,14:53:29,export chrome histor - Google 検索,https://www.google.com/search?q=export+chrome+histor&rlz=1C1UEAD_enSG952SG952&oq=export+chrome+histor+&aqs=chrome..69i57j0i19l9.6014j0j7&sourceid=chrome&ie=UTF-8,3,0,generated
3,52849,3/2/2022,14:53:23,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj,2,0,link
4,52848,3/2/2022,14:53:21,export chrome histor - Google 検索,https://www.google.com/search?q=export+chrome+histor&rlz=1C1UEAD_enSG952SG952&oq=export+chrome+histor+&aqs=chrome..69i57j0i19l9.6014j0j7&sourceid=chrome&ie=UTF-8,3,0,link
5,52848,3/2/2022,14:53:20,export chrome histor - Google 検索,https://www.google.com/search?q=export+chrome+histor&rlz=1C1UEAD_enSG952SG952&oq=export+chrome+histor+&aqs=chrome..69i57j0i19l9.6014j0j7&sourceid=chrome&ie=UTF-8,3,0,generated
6,52847,3/2/2022,14:51:47,record app use windows - Google 検索,https://www.google.com/search?q=record+app+use+windows&rlz=1C1UEAD_enSG952SG952&sxsrf=APq-WBu9HyzpvG5eFnAVLG6i74Lf_N_qrg%3A1646203901452&ei=_RMfYo2bG_WLmgfpl7CgDQ&ved=0ahUKEwjNjZi266b2AhX1heYKHekLDNQQ4dUDCA4&uact=5&oq=record+app+use+windows&gs_lcp=Cgdnd3Mtd2l6EAM6BwgAEEcQsAM6CAgAEAcQHhATOgYIABAHEB46CAgAEAcQBBAeOgQIIxAnOgQIABBDOgUIABDLAToECAAQEzoECAAQHjoICAAQBxAFEB46BggAEAUQHjoICAAQCBAHEB5KBAhBGABKBAhGGABQPVjEHWD0HmgCcAF4AYABhAWIAb4ckgEKNy4xNS4yLjUtMZgBAKABAcgBCsABAQ&sclient=gws-wiz,2,0,link
7,52847,3/2/2022,14:51:46,record app use windows - Google 検索,https://www.google.com/search?q=record+app+use+windows&rlz=1C1UEAD_enSG952SG952&sxsrf=APq-WBu9HyzpvG5eFnAVLG6i74Lf_N_qrg%3A1646203901452&ei=_RMfYo2bG_WLmgfpl7CgDQ&ved=0ahUKEwjNjZi266b2AhX1heYKHekLDNQQ4dUDCA4&uact=5&oq=record+app+use+windows&gs_lcp=Cgdnd3Mtd2l6EAM6BwgAEEcQsAM6CAgAEAcQHhATOgYIABAHEB46CAgAEAcQBBAeOgQIIxAnOgQIABBDOgUIABDLAToECAAQEzoECAAQHjoICAAQBxAFEB46BggAEAUQHjoICAAQCBAHEB5KBAhBGABKBAhGGABQPVjEHWD0HmgCcAF4AYABhAWIAb4ckgEKNy4xNS4yLjUtMZgBAKABAcgBCsABAQ&sclient=gws-wiz,2,0,form_submit
8,52846,3/2/2022,14:51:39,screentime windows - Google 検索,https://www.google.com/search?q=screentime+windows&rlz=1C1UEAD_enSG952SG952&oq=screentime+windows&aqs=chrome..69i57j0i10i19l3j0i8i10i19i30l2j0i5i10i19i30j0i8i10i19i30l2.4681j0j7&sourceid=chrome&ie=UTF-8,2,0,link
9,52846,3/2/2022,14:51:38,screentime windows - Google 検索,https://www.google.com/search?q=screentime+windows&rlz=1C1UEAD_enSG952SG952&oq=screentime+windows&aqs=chrome..69i57j0i10i19l3j0i8i10i19i30l2j0i5i10i19i30j0i8i10i19i30l2.4681j0j7&sourceid=chrome&ie=UTF-8,2,0,generated
10,52845,3/2/2022,14:46:23,in talking term - Google 検索,https://www.google.com/search?q=in+talking+term&rlz=1C1UEAD_enSG952SG952&oq=in+talking+term+&aqs=chrome..69i57j0i19j0i13i19i30j0i5i13i19i30l3j0i8i19i30l2j0i8i13i19i30l2.3843j0j4&sourceid=chrome&ie=UTF-8,2,0,link
