"state","year","incidence"
"AL",1928,334.99
"AL",1929,111.93
"AL",1930,157
"AL",1931,337.29
"AL",1932,10.21
"AL",1933,65.22
"AL",1934,590.27
"AL",1935,265.34
"AL",1936,20.78
"AL",1937,22.46
"AL",1938,496.44
"AL",1939,182.64
"AL",1940,115.12
"AL",1941,297.47
"AL",1942,126.15
"AL",1943,130.82
"AL",1944,252.87
"AL",1945,27.33
"AL",1946,126.75
"AL",1947,127.26
"AL",1948,69.09
"AL",1949,368.8
"AL",1950,50.9
"AL",1951,103.24
"AL",1952,351.72
"AL",1953,93.99
"AL",1954,280.39
"AL",1955,69.68
"AL",1956,231.75
"AL",1957,299.79
"AL",1958,242.34
"AL",1959,108.19
"AL",1960,63.33
"AL",1961,78.01
"AL",1962,71.58
"AL",1963,34.74
"AL",1964,533.68
"AL",1965,68.2
"AL",1966,52.38
"AL",1967,38.98
"AL",1968,4.65
"AL",1969,0.36
"AL",1970,13.94
"AL",1971,55.24
"AL",1972,4.02
"AL",1973,0.42
"AL",1974,0.58
"AL",1975,0.13
"AL",1976,NA
"AL",1977,2.06
"AL",1978,3.43
"AL",1979,3.35
"AL",1980,0.57
"AL",1981,0
"AL",1982,0.05
"AL",1983,0.03
"AL",1984,0
"AL",1985,NA
"AL",1986,0.02
"AL",1987,0.09
"AL",1988,0.02
"AL",1989,1.46
"AL",1990,0.65
"AL",1991,0.02
"AL",1992,NA
"AL",1993,0.02
"AL",1994,NA
"AL",1995,NA
"AL",1996,NA
"AL",1997,0.14
"AL",1998,0
"AL",1999,NA
"AL",2000,NA
"AL",2001,NA
"AL",2002,0.16
"AL",2003,NA
"AK",1928,NA
"AK",1929,NA
"AK",1930,NA
"AK",1931,NA
"AK",1932,NA
"AK",1933,NA
"AK",1934,NA
"AK",1935,NA
"AK",1936,NA
"AK",1937,NA
"AK",1938,NA
"AK",1939,NA
"AK",1940,NA
"AK",1941,NA
"AK",1942,NA
"AK",1943,NA
"AK",1944,NA
"AK",1945,NA
"AK",1946,NA
"AK",1947,NA
"AK",1948,NA
"AK",1949,NA
"AK",1950,NA
"AK",1951,NA
"AK",1952,NA
"AK",1953,NA
"AK",1954,691.67
"AK",1955,241.87
"AK",1956,1120.98
"AK",1957,414.7
"AK",1958,562.06
"AK",1959,816.55
"AK",1960,635.79
"AK",1961,420.96
"AK",1962,571.54
"AK",1963,722.27
"AK",1964,439.89
"AK",1965,79.38
"AK",1966,236.57
"AK",1967,53.27
"AK",1968,3.86
"AK",1969,6.77
"AK",1970,33.61
"AK",1971,19.42
"AK",1972,3.94
"AK",1973,1.47
"AK",1974,0.27
"AK",1975,NA
"AK",1976,2.73
"AK",1977,15.07
"AK",1978,0.5
"AK",1979,4.48
"AK",1980,1.44
"AK",1981,NA
"AK",1982,0.2
"AK",1983,NA
"AK",1984,NA
"AK",1985,NA
"AK",1986,NA
"AK",1987,NA
"AK",1988,0.18
"AK",1989,0
"AK",1990,4.86
"AK",1991,0.18
"AK",1992,0.68
"AK",1993,NA
"AK",1994,2.67
"AK",1995,NA
"AK",1996,11.16
"AK",1997,0.16
"AK",1998,2.58
"AK",1999,NA
"AK",2000,0.16
"AK",2001,NA
"AK",2002,NA
"AK",2003,NA
"AZ",1928,200.75
"AZ",1929,54.88
"AZ",1930,466.31
"AZ",1931,497.69
"AZ",1932,20.11
"AZ",1933,296.01
"AZ",1934,238.81
"AZ",1935,135.02
"AZ",1936,525.5
"AZ",1937,837.3
"AZ",1938,149.34
"AZ",1939,144.02
"AZ",1940,339.06
"AZ",1941,615.29
"AZ",1942,740.83
"AZ",1943,172.44
"AZ",1944,736.71
"AZ",1945,93.74
"AZ",1946,498.69
"AZ",1947,224.49
"AZ",1948,623.38
"AZ",1949,531.46
"AZ",1950,315.95
"AZ",1951,1351.49
"AZ",1952,424.59
"AZ",1953,557.91
"AZ",1954,531.51
"AZ",1955,1024.03
"AZ",1956,644.32
"AZ",1957,700.97
"AZ",1958,825.18
"AZ",1959,719.02
"AZ",1960,325.91
"AZ",1961,559.22
"AZ",1962,431.74
"AZ",1963,583.67
"AZ",1964,405.54
"AZ",1965,100.6
"AZ",1966,336.9
"AZ",1967,62.08
"AZ",1968,14.61
"AZ",1969,31.21
"AZ",1970,53.05
"AZ",1971,25.39
"AZ",1972,40.83
"AZ",1973,1.12
"AZ",1974,0.89
"AZ",1975,3.53
"AZ",1976,10
"AZ",1977,8.71
"AZ",1978,2.52
"AZ",1979,3.25
"AZ",1980,11.63
"AZ",1981,0.36
"AZ",1982,0.53
"AZ",1983,NA
"AZ",1984,NA
"AZ",1985,7.49
"AZ",1986,7.45
"AZ",1987,1
"AZ",1988,0.08
"AZ",1989,3.96
"AZ",1990,7.72
"AZ",1991,9.04
"AZ",1992,0
"AZ",1993,0.06
"AZ",1994,0.2
"AZ",1995,0.27
"AZ",1996,0.17
"AZ",1997,0.18
"AZ",1998,0.2
"AZ",1999,0.02
"AZ",2000,NA
"AZ",2001,0.02
"AZ",2002,NA
"AZ",2003,NA
"AR",1928,481.77
"AR",1929,67.22
"AR",1930,53.44
"AR",1931,45.91
"AR",1932,5.33
"AR",1933,293.32
"AR",1934,384.57
"AR",1935,80.33
"AR",1936,5.66
"AR",1937,16.98
"AR",1938,356.73
"AR",1939,123.51
"AR",1940,72
"AR",1941,273.89
"AR",1942,232.7
"AR",1943,162.6
"AR",1944,207.51
"AR",1945,69.5
"AR",1946,168.47
"AR",1947,130.61
"AR",1948,208.3
"AR",1949,667.72
"AR",1950,91.12
"AR",1951,401.09
"AR",1952,188.55
"AR",1953,727.41
"AR",1954,151.03
"AR",1955,173.54
"AR",1956,506.86
"AR",1957,78.41
"AR",1958,173.95
"AR",1959,46.49
"AR",1960,89.24
"AR",1961,93.26
"AR",1962,77.61
"AR",1963,77.5
"AR",1964,58.28
"AR",1965,63.08
"AR",1966,72.49
"AR",1967,66.76
"AR",1968,0.15
"AR",1969,1.51
"AR",1970,1.66
"AR",1971,21.91
"AR",1972,0.65
"AR",1973,3.71
"AR",1974,0.66
"AR",1975,0.1
"AR",1976,0.91
"AR",1977,2.04
"AR",1978,0.96
"AR",1979,0.47
"AR",1980,0.76
"AR",1981,0.59
"AR",1982,NA
"AR",1983,0.04
"AR",1984,0.38
"AR",1985,NA
"AR",1986,12.21
"AR",1987,NA
"AR",1988,NA
"AR",1989,0.21
"AR",1990,1.74
"AR",1991,NA
"AR",1992,NA
"AR",1993,NA
"AR",1994,NA
"AR",1995,0.08
"AR",1996,NA
"AR",1997,0.12
"AR",1998,NA
"AR",1999,0.16
"AR",2000,0.04
"AR",2001,NA
"AR",2002,NA
"AR",2003,NA
"CA",1928,69.22
"CA",1929,72.8
"CA",1930,760.24
"CA",1931,477.48
"CA",1932,214.08
"CA",1933,445.28
"CA",1934,423.26
"CA",1935,466.38
"CA",1936,773.54
"CA",1937,78.26
"CA",1938,278.32
"CA",1939,939.48
"CA",1940,376.44
"CA",1941,174.42
"CA",1942,1222.01
"CA",1943,340.06
"CA",1944,599.97
"CA",1945,339.44
"CA",1946,575.16
"CA",1947,74.98
"CA",1948,487.91
"CA",1949,320.82
"CA",1950,137.92
"CA",1951,548.36
"CA",1952,335.25
"CA",1953,438.91
"CA",1954,473.05
"CA",1955,513.46
"CA",1956,235.21
"CA",1957,353.35
"CA",1958,235.72
"CA",1959,251.82
"CA",1960,140.03
"CA",1961,223.42
"CA",1962,164.86
"CA",1963,113.36
"CA",1964,179.9
"CA",1965,74.6
"CA",1966,80.59
"CA",1967,27.45
"CA",1968,8.49
"CA",1969,4.57
"CA",1970,9.55
"CA",1971,13.88
"CA",1972,15.43
"CA",1973,3.82
"CA",1974,5.14
"CA",1975,23.78
"CA",1976,10.41
"CA",1977,34.75
"CA",1978,2.81
"CA",1979,4.08
"CA",1980,3.65
"CA",1981,1.4
"CA",1982,3.16
"CA",1983,0.59
"CA",1984,1.2
"CA",1985,0.92
"CA",1986,1.52
"CA",1987,2.68
"CA",1988,2.48
"CA",1989,7.34
"CA",1990,31.99
"CA",1991,6.49
"CA",1992,0.19
"CA",1993,0.18
"CA",1994,0.19
"CA",1995,0.09
"CA",1996,0.11
"CA",1997,0.09
"CA",1998,0
"CA",1999,0.06
"CA",2000,0.03
"CA",2001,0.11
"CA",2002,0
"CA",2003,NA
"CO",1928,206.98
"CO",1929,74.24
"CO",1930,1132.76
"CO",1931,453.27
"CO",1932,222.9
"CO",1933,27.69
"CO",1934,1204.25
"CO",1935,1186.07
"CO",1936,54.74
"CO",1937,93
"CO",1938,823.71
"CO",1939,525.21
"CO",1940,231.8
"CO",1941,661.75
"CO",1942,505.49
"CO",1943,976.97
"CO",1944,556.49
"CO",1945,95.91
"CO",1946,992.74
"CO",1947,142.93
"CO",1948,723.28
"CO",1949,557.61
"CO",1950,395.37
"CO",1951,934.02
"CO",1952,386.92
"CO",1953,684
"CO",1954,127.66
"CO",1955,317.08
"CO",1956,873.22
"CO",1957,173.47
"CO",1958,566.11
"CO",1959,411.5
"CO",1960,384.73
"CO",1961,210.35
"CO",1962,474
"CO",1963,325.28
"CO",1964,164.43
"CO",1965,302.7
"CO",1966,72
"CO",1967,79.64
"CO",1968,23.54
"CO",1969,6.43
"CO",1970,10.41
"CO",1971,37.17
"CO",1972,20.88
"CO",1973,6.55
"CO",1974,6.13
"CO",1975,44.44
"CO",1976,16.67
"CO",1977,15.7
"CO",1978,1.8
"CO",1979,2.48
"CO",1980,0.77
"CO",1981,0.25
"CO",1982,0.22
"CO",1983,NA
"CO",1984,NA
"CO",1985,0.27
"CO",1986,0.15
"CO",1987,0.27
"CO",1988,3.53
"CO",1989,3.02
"CO",1990,4.17
"CO",1991,0.33
"CO",1992,0.64
"CO",1993,0
"CO",1994,0.54
"CO",1995,0.68
"CO",1996,0.21
"CO",1997,0.72
"CO",1998,NA
"CO",1999,0
"CO",2000,0.06
"CO",2001,NA
"CO",2002,NA
"CO",2003,NA
"CT",1928,634.95
"CT",1929,614.82
"CT",1930,112.23
"CT",1931,790.46
"CT",1932,348.27
"CT",1933,330.66
"CT",1934,282.35
"CT",1935,1449.49
"CT",1936,228.97
"CT",1937,606.76
"CT",1938,107.56
"CT",1939,937.54
"CT",1940,376.52
"CT",1941,364.57
"CT",1942,587.88
"CT",1943,550.38
"CT",1944,493.5
"CT",1945,170.2
"CT",1946,397.91
"CT",1947,814.92
"CT",1948,140.62
"CT",1949,935.63
"CT",1950,197.45
"CT",1951,227.43
"CT",1952,1179.01
"CT",1953,99.99
"CT",1954,223.47
"CT",1955,1256.63
"CT",1956,116.46
"CT",1957,409.99
"CT",1958,645.65
"CT",1959,516.46
"CT",1960,434.62
"CT",1961,261.76
"CT",1962,672.06
"CT",1963,214.81
"CT",1964,189.03
"CT",1965,322.89
"CT",1966,32.51
"CT",1967,3.57
"CT",1968,23.82
"CT",1969,21.39
"CT",1970,3.82
"CT",1971,38.91
"CT",1972,50.08
"CT",1973,59.17
"CT",1974,5.6
"CT",1975,4.16
"CT",1976,7.64
"CT",1977,25.02
"CT",1978,17.04
"CT",1979,0.12
"CT",1980,0.85
"CT",1981,0.27
"CT",1982,0.24
"CT",1983,0
"CT",1984,0.31
"CT",1985,0.18
"CT",1986,0.27
"CT",1987,0.66
"CT",1988,0.51
"CT",1989,6.53
"CT",1990,5.7
"CT",1991,0.69
"CT",1992,0.06
"CT",1993,0.18
"CT",1994,0.12
"CT",1995,0.03
"CT",1996,0.03
"CT",1997,0
"CT",1998,NA
"CT",1999,0
"CT",2000,NA
"CT",2001,0
"CT",2002,NA
"CT",2003,NA
"DE",1928,256.02
"DE",1929,239.82
"DE",1930,109.25
"DE",1931,1003.28
"DE",1932,15.98
"DE",1933,82.68
"DE",1934,1225.2
"DE",1935,412.7
"DE",1936,555.96
"DE",1937,707.1
"DE",1938,236.02
"DE",1939,94.63
"DE",1940,36.04
"DE",1941,1268.35
"DE",1942,90.16
"DE",1943,564.55
"DE",1944,138.4
"DE",1945,96.86
"DE",1946,198.98
"DE",1947,19.41
"DE",1948,333.13
"DE",1949,234.53
"DE",1950,194.7
"DE",1951,208.42
"DE",1952,119.34
"DE",1953,115.88
"DE",1954,527.67
"DE",1955,26.98
"DE",1956,212.31
"DE",1957,78.13
"DE",1958,118.9
"DE",1959,139.7
"DE",1960,212.92
"DE",1961,368.35
"DE",1962,129.42
"DE",1963,248.69
"DE",1964,79.26
"DE",1965,102.38
"DE",1966,51.14
"DE",1967,10.64
"DE",1968,4.51
"DE",1969,93.73
"DE",1970,47.46
"DE",1971,7.27
"DE",1972,9.66
"DE",1973,1.71
"DE",1974,2.72
"DE",1975,5.94
"DE",1976,18.8
"DE",1977,1.18
"DE",1978,1.87
"DE",1979,0.17
