"","age","sex","year","pop","pop2"
"1","0 - 4","male","2020",88197,-88197
"2","0 - 4","male","2010",85878,-85878
"3","0 - 4","male","2000",108529,-108529
"4","0 - 4","male","1990",113418,-113418
"5","0 - 4","male","1980",95284,-95284
"6","0 - 4","male","1970",116504,-116504
"7","5 - 9","male","2020",91755,-91755
"8","5 - 9","male","2010",94618,-94618
"9","5 - 9","male","2000",123458,-123458
"10","5 - 9","male","1990",102989,-102989
"11","5 - 9","male","1980",110506,-110506
"12","5 - 9","male","1970",137165,-137165
"13","10 - 14","male","2020",93000,-93000
"14","10 - 14","male","2010",112767,-112767
"15","10 - 14","male","2000",115074,-115074
"16","10 - 14","male","1990",99160,-99160
"17","10 - 14","male","1980",114738,-114738
"18","10 - 14","male","1970",140331,-140331
"19","15 - 19","male","2020",99700,-99700
"20","15 - 19","male","2010",124916,-124916
"21","15 - 19","male","2000",105026,-105026
"22","15 - 19","male","1990",112382,-112382
"23","15 - 19","male","1980",136323,-136323
"24","15 - 19","male","1970",116891,-116891
"25","20 - 24","male","2020",117155,-117155
"26","20 - 24","male","2010",116412,-116412
"27","20 - 24","male","2000",100965,-100965
"28","20 - 24","male","1990",118226,-118226
"29","20 - 24","male","1980",136700,-136700
"30","20 - 24","male","1970",90779,-90779
"31","25 - 29","male","2020",128690,-128690
"32","25 - 29","male","2010",105757,-105757
"33","25 - 29","male","2000",113081,-113081
"34","25 - 29","male","1990",141226,-141226
"35","25 - 29","male","1980",114439,-114439
"36","25 - 29","male","1970",53038,-53038
"37","30 - 34","male","2020",120229,-120229
"38","30 - 34","male","2010",102741,-102741
"39","30 - 34","male","2000",118083,-118083
"40","30 - 34","male","1990",145307,-145307
"41","30 - 34","male","1980",93311,-93311
"42","30 - 34","male","1970",57664,-57664
"43","35 - 39","male","2020",112668,-112668
"44","35 - 39","male","2010",116096,-116096
"45","35 - 39","male","2000",140946,-140946
"46","35 - 39","male","1990",123688,-123688
"47","35 - 39","male","1980",57177,-57177
"48","35 - 39","male","1970",51515,-51515
"49","40 - 44","male","2020",109469,-109469
"50","40 - 44","male","2010",121236,-121236
