mass	bloom	stalks	water	nitra	greenhouse
171.6	48	87	T	34.4	1
184	34	73	T	36.3	1
167.5	39	74	T	33.1	1
180.4	41	77	T	37.6	1
171.2	30	67	T	34.4	1
47.5	60	96	F	23.5	1
113.8	61	97	F	28.2	1
119.4	62	97	F	36.6	1
78.9	44	84	F	25.7	1
86.5	51	88	F	23.2	1
166	43	79	T	34.3	1
137.7	36	76	T	30.6	1
149.5	37	73	T	32.1	1
111	31	71	T	24.6	1
126.4	31	69	T	27.6	1
53.7	48	88	F	23.6	1
72	56	96	F	33.1	1
81.4	62	98	F	34.3	1
90.6	59	97	F	22	1
111.4	61	96	F	32.8	1
138.3	32	70	T	34.1	2
111.4	48	87	T	23.3	2
82.8	37	75	T	22.9	2
98.1	34	72	T	20.5	2
152.3	36	74	T	36.4	2
102.2	51	86	F	28.2	2
53.3	48	88	F	24.8	2
129.1	60	95	F	39.5	2
105.4	61	96	F	40.1	2
113.5	52	91	F	36.8	2
98.4	49	87	T	20.9	2
100.1	45	80	T	25	2
136	39	76	T	36.7	2
136.5	50	89	T	31.3	2
177.2	39	74	T	38.2	2
65.9	49	85	F	30	2
88.3	48	85	F	22.8	2
100.4	44	83	F	31.3	2
76.4	53	89	F	23	2
100.6	54	92	F	33.2	2
144.1	46	84	T	31.1	3
169.9	40	77	T	38.7	3
113	44	80	T	24.2	3
187	50	87	T	38.7	3
126	39	79	T	26.8	3
113.6	59	95	F	27.6	3
58.5	57	93	F	29.6	3
89.7	55	90	F	33.1	3
49.5	45	80	F	22	3
108.9	61	96	F	33.8	3
151.8	40	78	T	34.4	3
74.5	39	78	T	20.6	3
102.2	32	70	T	27.2	3
112.1	43	80	T	25	3
109.1	47	85	T	23.5	3
73.8	56	96	F	30.5	3
105.7	44	83	F	36.1	3
53	51	87	F	20.6	3
98.5	46	81	F	34.3	3
124.5	46	85	F	34.3	3
142	40	78	T	33.1	4
152.3	39	78	T	31.5	4
106.1	46	85	T	24.3	4
146.2	33	71	T	34.9	4
115.2	43	79	T	29.8	4
125.5	44	82	F	37.7	4
78.2	52	89	F	20	4
111.6	45	81	F	37	4
53.3	42	79	F	20.2	4
133.6	51	91	F	34.7	4
164.6	46	82	T	37	4
122.7	38	76	T	27.4	4
147.1	40	76	T	31.7	4
122.9	39	76	T	23.6	4
150	30	66	T	34.6	4
84.5	48	83	F	22.2	4
124	47	84	F	35.1	4
91.2	42	80	F	28.8	4
123	50	88	F	40.7	4
61.9	48	87	F	21.6	4
114.8	39	77	T	23.8	5
169.4	44	84	T	33.1	5
193.7	46	86	T	38.2	5
142.3	43	79	T	28.1	5
205.6	39	76	T	37.2	5
53.6	54	90	F	23.4	5
98.1	55	91	F	26.1	5
102.9	57	96	F	35.7	5
116.7	54	91	F	28.5	5
94.2	46	83	F	27.5	5
166.4	32	72	T	27.9	5
189.2	45	80	T	35.9	5
178.5	46	82	T	35.3	5
186.3	31	67	T	36.8	5
156	32	71	T	30.1	5
124	61	99	F	39.8	5
110.9	51	91	F	36	5
103.1	48	88	F	26.8	5
98.2	51	88	F	38.2	5
100.8	59	97	F	29.3	5
