specType	dVal	weight	height	lifeEx	trapped
A	51.01	68.12	147.1	18	T
B	93.82	21.2	149.3	18	F
A	78.15	68.2	149.9	17	T
A	91.36	46.6	156.6	19	T
B	72.2	20.58	138.7	22	F
B	51.48	21.22	148.3	25	F
A	65.7	57.55	155.6	18	T
A	95.37	62.14	159.9	17	F
B	82.71	24.56	142.2	15	F
B	68.81	25.8	133	23	F
B	63.24	27.89	139.5	24	T
A	55.64	52.91	152.5	15	T
B	87.11	22.65	138.4	17	T
A	63.37	65.81	143.8	20	F
A	77.84	67.57	162.7	15	T
B	79.43	29.46	122	19	F
B	61.99	20.15	130.3	16	T
B	96.74	29.18	138.3	17	F
B	53.57	24.68	132.6	21	F
B	91.24	24.77	139.9	16	F
A	98.67	51.48	156.5	15	T
B	96.03	29.44	139.6	16	F
A	53.87	63.83	169.8	15	T
A	61.92	66.08	167.2	20	T
A	82.28	68.37	142.9	23	F
