AttLoc	Form	Mantis
Body	Wildtype	A
Body	Wildtype	A
Body	Spotty	A
BWE	Spotty	A
BWE	Spotty	A
FWE	Wildtype	A
FWE	Wildtype	A
Body	Wildtype	B
Body	Spotty	B
Body	Spotty	B
BWE	Wildtype	B
BWE	Spotty	B
BWE	Spotty	B
FWE	Wildtype	B
Body	Wildtype	C
Body	Spotty	C
FWE	Wildtype	C
FWE	Wildtype	C
FWE	Spotty	C
FWE	Spotty	C
FWE	Spotty	C
Body	Wildtype	D
Body	Spotty	D
BWE	Wildtype	D
BWE	Spotty	D
BWE	Spotty	D
FWE	Wildtype	D
FWE	Wildtype	D
FWE	Spotty	D
Body	Wildtype	E
Body	Spotty	E
Body	Spotty	E
FWE	Wildtype	E
FWE	Wildtype	E
FWE	Wildtype	E
HWE	Spotty	E
Body	Wildtype	F
BWE	Wildtype	F
FWE	Wildtype	F
FWE	Spotty	F
FWE	Spotty	F
HWE	Wildtype	F
Body	Spotty	G
Body	Spotty	G
BWE	Wildtype	G
BWE	Spotty	G
FWE	Wildtype	G
FWE	Wildtype	G
FWE	Spotty	G
HWE	Wildtype	G
BWE	Wildtype	H
BWE	Wildtype	H
BWE	Spotty	H
BWE	Spotty	H
BWE	Spotty	H
FWE	Spotty	H
HWE	Wildtype	H
HWE	Wildtype	H
BWE	Spotty	I
BWE	Spotty	I
FWE	Wildtype	I
FWE	Spotty	I
FWE	Spotty	I
HWE	Wildtype	I
HWE	Wildtype	I
Body	Wildtype	J
Body	Wildtype	J
Body	Spotty	J
BWE	Spotty	J
