gene	condition	expression
A	control	10.4074650484255
A	control	9.79525733594622
A	control	12.79654809648
A	control	8.7393556754678
A	control	8.09933916198037
A	control	10.6683666719194
A	treatment	11.840251172838
A	treatment	11.1498581843442
A	treatment	11.94201486518
A	treatment	10.9356152572765
A	treatment	10.9085869700783
A	treatment	11.3903236930908
B	control	13.2236162802082
B	control	12.9088780135998
B	control	13.2043676536853
B	control	11.1803405536923
B	control	12.6390497252925
B	control	11.7898019803797
B	treatment	13.1111101152053
B	treatment	14.53853517654
B	treatment	11.9679432673238
B	treatment	15.3022533299601
B	treatment	14.2758697579517
B	treatment	14.2122692649438
C	control	14.7308044958635
C	control	11.6587388001783
C	control	12.5282063170626
C	control	12.5875236843807
C	control	12.4580982420027
C	control	12.8633172176789
C	treatment	12.3882859483927
C	treatment	11.0604479725639
C	treatment	11.3997924091972
C	treatment	11.1425793709537
C	treatment	11.6875785064857
C	treatment	10.656240523818
D	control	15.1489698938771
D	control	14.1768644539402
D	control	16.0589550459703
D	control	14.5711726969702
D	control	15.1493740012064
D	control	15.2117298425486
D	treatment	19.9542009674412
D	treatment	19.5706988400272
D	treatment	20.8779268612833
D	treatment	19.2495272193118
D	treatment	19.4591211214012
D	treatment	20.5216588079675
E	control	15.0629769771056
E	control	12.9423537220065
E	control	15.0845616937641
E	control	17.1464504120311
E	control	15.2611168863883
E	control	13.952986368651
E	treatment	15.4816676890579
E	treatment	17.6778584000029
E	treatment	16.479868679221
E	treatment	17.8682979063496
E	treatment	17.1861285051824
E	treatment	16.7513384558332
F	control	14.7557919931634
F	control	7.9169160213395
F	control	11.3655571435694
F	control	12.5932974003568
F	control	14.6785359537699
F	control	12.9727662890385
F	treatment	12.4778142886913
F	treatment	12.4821459490078
F	treatment	10.5776393202965
F	treatment	10.5174626273772
F	treatment	11.9554073621646
F	treatment	9.69604779052047
G	control	18.5505489894139
G	control	17.95141058363
G	control	17.332677896522
G	control	18.1283181627288
G	control	17.15849323084
G	control	17.7026067187014
G	treatment	12.7396613769892
G	treatment	13.1172095509471
G	treatment	14.0388336196578
G	treatment	14.6334806826769
G	treatment	13.9305237037664
G	treatment	15.1992464272399
H	control	12.277101177767
H	control	12.535293431571
H	control	13.3376841972459
H	control	12.8286693263245
H	control	12.152961655872
H	control	13.3339905710611
H	treatment	14.3411885709311
H	treatment	13.7665161592995
H	treatment	12.761878968485
H	treatment	11.7251871345426
H	treatment	12.7433899882715
H	treatment	13.6046537933215
I	control	19.2967125300749
I	control	20.2396554541002
I	control	19.072665235943
I	control	19.7290067718376
I	control	18.2058999060618
I	control	18.974235382259
I	treatment	17.5772640731143
I	treatment	18.277009376201
I	treatment	19.6419368379531
I	treatment	19.2259145354262
I	treatment	20.3268223275675
I	treatment	18.2239687824828
J	control	15.0056530209755
J	control	13.2973550243594
J	control	12.597724338111
J	control	12.3488314315827
J	control	14.0999320940046
J	control	13.1170036233323
J	treatment	12.7014799161729
J	treatment	12.7892356773885
J	treatment	16.1374525687139
J	treatment	13.6810490998259
J	treatment	15.5816668278595
J	treatment	14.7244453240642
