Metabolite	batch	condition	value
1	1	WT	12.97
1	1	WT	7.57
1	1	WT	9.58
1	1	WT	10.58
1	1	Trt	6.15
1	1	Trt	6.45
1	1	Trt	5.38
1	1	Trt	3.38
2	1	WT	2.41
2	1	WT	1.59
2	1	WT	2.56
2	1	WT	2.77
2	1	Trt	0.87
2	1	Trt	1.07
2	1	Trt	1.14
2	1	Trt	0.78
3	1	WT	1.14
3	1	WT	0.78
3	1	WT	1.25
3	1	WT	1.19
3	1	Trt	0.4
3	1	Trt	0.64
3	1	Trt	0.52
3	1	Trt	0.59
4	1	WT	10.97
4	1	WT	5.26
4	1	WT	7.64
4	1	WT	6.05
4	1	Trt	9.13
4	1	Trt	8.92
4	1	Trt	5.22
4	1	Trt	5.54
5	1	WT	23.64
5	1	WT	10.67
5	1	WT	10.94
5	1	WT	17.32
5	1	Trt	21.91
5	1	Trt	32.48
5	1	Trt	14.15
5	1	Trt	15.62
6	1	WT	3.93
6	1	WT	2.91
6	1	WT	2.05
6	1	WT	3.1
6	1	Trt	6.01
6	1	Trt	7.04
6	1	Trt	3.14
6	1	Trt	3.04
1	2	WT	6.02
1	2	WT	9.97
1	2	WT	7.59
1	2	WT	4.61
1	2	WT	4.58
1	2	Trt	2.84
1	2	Trt	2.96
1	2	Trt	2.9
1	2	Trt	3.44
1	2	Trt	2.67
2	2	WT	1.03
2	2	WT	1.15
2	2	WT	0.68
2	2	WT	0.58
2	2	WT	0.34
2	2	Trt	0.62
2	2	Trt	0.81
2	2	Trt	0.23
2	2	Trt	0.36
2	2	Trt	0.21
3	2	WT	0.62
3	2	WT	0.23
3	2	WT	0.16
3	2	WT	0.24
3	2	WT	0.27
3	2	Trt	0.04
3	2	Trt	0.18
3	2	Trt	0.04
3	2	Trt	0.05
3	2	Trt	0.06
4	2	WT	5.16
4	2	WT	6.24
4	2	WT	7.69
4	2	WT	6.92
4	2	WT	8.59
4	2	Trt	4.61
4	2	Trt	7.9
4	2	Trt	5.96
4	2	Trt	5.44
4	2	Trt	4.02
5	2	WT	12.83
5	2	WT	11.13
5	2	WT	5.24
5	2	WT	13.08
5	2	WT	13.35
5	2	Trt	13.71
5	2	Trt	9.36
5	2	Trt	11.32
5	2	Trt	13.98
5	2	Trt	6.89
6	2	WT	2.7
6	2	WT	4.62
6	2	WT	1.66
6	2	WT	4.26
6	2	WT	4.09
6	2	Trt	3.44
6	2	Trt	3
6	2	Trt	3.21
6	2	Trt	4.53
6	2	Trt	2.36
